Country.Region,CONTINENT
Venezuela,SouthAmerica
Colombia,SouthAmerica
Ecuador,SouthAmerica
Peru,SouthAmerica
Brazil,SouthAmerica
Chile,SouthAmerica
Argentina,SouthAmerica
Uruguay,SouthAmerica
Paraguay,SouthAmerica
Curacao,SouthAmerica
Aruba,SouthAmerica
Trinidad.and.Tobago,SouthAmerica
Panama,CentralAmerica
Mexico,NorthAmerica
Guatemala,CentralAmerica
Nicaragua,CentralAmerica
Honduras,CentralAmerica
Belize,CentralAmerica
Costa.Rica,CentralAmerica
Puerto.Rico,Caribean
Cuba,Caribean
US,NorthAmerica
Canada,NorthAmerica
Spain,Europe
Portugal,Europe
France,Europe
Germany,Europe
Italy,Europe
China,Asia
Korea.South,Asia
Japan,Asia
Hong.Kong,Asia
Singapore,Asia
